46.  162.6;0.0029;1035;0.19
-47.3 108.8;0.009;800;0.21
56.7 161.2;1;1;0.43
82.5 199.1;0.29;448;0.66
70.5 125.4;1;1;0.76
18.8  63.1;0.13;567;0.77
13.1 215.6;1;1;0.92
0.9 168.5;1;1;1.
70.1 201.2;1;1;1.1
,     1.2;1;1;1
1.3,;1;1;1
52.2  59.8;1;1;1.3
72.4 328.4;1;1;1.4
51.3  26.5;1;1;1.4
59.8 220.8;0.36;530;1.6
25.5 165.5;1;1;1.8
12.8  11.7;1;1;1.8
44.6 225.6;1;1;1.8
69.   29.3;1;1;2.
1.2 192.6;1;1;2.3
-25.1 101.5;1;1;2.4
-12.5 139.2;10.;258;2.4
31.6 130.3;1;1;2.5
18.9 254.2;1;1;2.6
-26.2 353.9;1;1;2.7
-62.5 197.;1;1;2.8
-13.8 111.2;13.;255;3.
-19.4 202.5;24.;211;3.
-0.8 328.9;29.;211;3.
6.5 279.6;37.;200;3.
49.5 176.;1;1;3.2
-10.1 217.5;0.81;518;3.3
-7.6 334.6;2.8;384;3.5
-65.2 328.4;0.86;521;3.6
18.3 315.8;1;1;3.8
-62.2  19.;38.;211;4.
-0.9 328.9;37.;211;4.
7.9 333.9;49.;200;4.
31.7 352.4;1;1;4.2
52.6 322.5;1;1;4.2
-26.1 189.8;1;1;4.4
25.5 341.5;1;1;4.4
-3.8 205.1;1;1;4.8
41.4  24.6;1;1;4.9
57.   39.8;2.25;444;5.
-64.7   4.4;0.2;808;5.
-59.5  31.4;1;1;5.
67.  206.6;1;1;5.1
-64.  157.7;1;1;5.2
-77.  232.;1;1;5.3
57.6 247.;1;1;5.4
23.8  23.2;1;1;5.4
-38.6 254.2;1;1;5.7
-10.7 176.6;23.;258;5.7
26.1  57.7;1;1;5.9
-26.5  63.8;1;1;6.
-46.3 119.2;26.;253;6.
-80.3 330.3;594.;115;6.
-17.  170.8;51.;211;6.
-31.4 345.;53.;211;6.
40.8 340.7;1;1;6.1
38.7  45.2;1;1;6.7
-49.2 304.6;1.26;554;6.7
